fen,my_move,Your_Move_Eval,Best_Move_Eval,Eval_Difference,New_Move_Quality
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 5 4,Bc5,0.22,-0.30,0.52,Inaccuracy
r1bqkbnr/pp2pppp/2n5/2pp4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 2 4,Nf6,0.23,0.23,0.00,Best/Excellent
r1bqk2r/ppp2ppp/2p2n2/2b5/2B1P3/2N5/PPPP1PPP/R1BQK2R b KQkq - 3 6,Ng4,-0.98,-1.03,0.05,Best/Excellent
r1bqk2r/ppp2ppp/2p5/2b5/2B1P1n1/2N5/PPPP1PPP/R1BQ1RK1 b kq - 5 7,Qh4,-2.43,-2.38,0.05,Best/Excellent
r1b1k2r/ppp2ppp/2p5/2b5/2B1P1nq/2N4P/PPPP1PP1/R1BQ1RK1 b kq - 0 8,Nxf2,-2.81,-2.41,0.40,Good
rnbqkbnr/pp1ppppp/8/8/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Qxd4,0.13,0.10,0.03,Best/Excellent
rnbqkbnr/p3pppp/8/1p6/2pP4/4P3/1P3PPP/RNBQKBNR w KQkq - 0 6,Qf3,-3.04,-3.22,0.18,Best/Excellent
rnbqk2r/pp2bppp/2p1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 4 6,e3,-0.31,-0.38,0.07,Best/Excellent
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,-0.31,-0.25,0.06,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4,a6,0.35,0.13,0.22,Good
rnbqk2r/pppp1pp1/4pn1p/6B1/1bPP4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 5,Bh4,-0.04,-0.01,0.03,Best/Excellent
rnbqkb1r/pp1ppppp/5n2/8/2Pp4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Qxd4,0.10,0.15,0.05,Best/Excellent
r1bqkb1r/pp1ppppp/2n2n2/8/2PQ4/2N5/PP2PPPP/R1B1KBNR w KQkq - 1 5,Qd1,0.22,0.09,0.13,Best/Excellent
rnbqkb1r/pp1ppppp/2p2n2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,-0.28,-0.28,0.00,Best/Excellent
rnbqkbnr/pp2pppp/8/2pp4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,-0.26,-0.50,0.24,Good
rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 2 5,Nf3,-0.23,-0.24,0.01,Best/Excellent
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/3P4/PPP2PPP/RNBQK1NR b KQkq - 0 3,Nc6,0.21,0.09,0.12,Best/Excellent
rnbqkbnr/ppp2ppp/8/4P3/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,Nf3,-0.63,-0.68,0.05,Best/Excellent
rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4,-0.53,-0.53,0.00,Best/Excellent
rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4,-0.52,-0.58,0.06,Best/Excellent
